adverb	key	usage	definition	type
tween	tween%4:02:00::	two houses with a tree between	in between	
tween_decks	tween_decks%4:02:00::		in the space between decks, on a ship	
A.D.	a.d.%4:02:00::	in AD 200	in the Christian era; used before dates after the supposed year Christ was born	
A.M.	a.m.%4:02:00::	let's meet at 11 A.M.	before noon	
AD	ad%4:02:00::	in AD 200	in the Christian era; used before dates after the supposed year Christ was born	
ASAP	asap%4:02:00::		as soon as possible	
B.C.	b.c.%4:02:00::	in 200 BC	before the Christian era; used following dates before the supposed year Christ was born	
B.C.E.	b.c.e.%4:02:00::	in 200 BCE	of the period before the Common Era; preferred by some writers who are not Christians	
BC	bc%4:02:00::	in 200 BC	before the Christian era; used following dates before the supposed year Christ was born	
BCE	bce%4:02:00::	in 200 BCE	of the period before the Common Era; preferred by some writers who are not Christians	
C.E.	c.e.%4:02:00::	in 200 CE	of the period coinciding with the Christian era; preferred by some writers who are not Christians	
C.O.D.	c.o.d.%4:02:00::	mail a package C.O.D.	collecting the charges upon delivery	
CE	ce%4:02:00::	in 200 CE	of the period coinciding with the Christian era; preferred by some writers who are not Christians	
COD	cod%4:02:00::	mail a package C.O.D.	collecting the charges upon delivery	
Common_Era	common_era%4:02:00::	in 200 CE	of the period coinciding with the Christian era; preferred by some writers who are not Christians	
God_knows_how	god_knows_how%4:02:00::	God knows how he did it, but he did climbed that steep wall	by some means not understood by the speaker	
O.K.	o.k.%4:02:00::	she'll do okay on her own	in a satisfactory or adequate manner; ; ; (`alright' is a nonstandard variant of `all right')	manner
OK	ok%4:02:00::		an expression of agreement normally occurring at the beginning of a sentence	
P.M.	p.m.%4:02:00::	let's meet at 8 P.M.	between noon and midnight	
PRN	prn%4:02:00::	add water as needed	according to need (physicians use PRN in writing prescriptions)	
a.k.a.	a.k.a.%4:02:00::	Mr. Smith, alias Mr. Lafayette	as known or named at another time or place	
a_bit	a_bit%4:02:00::	it's a bit warm	to a small degree; somewhat	
a_cappella	a_cappella%4:02:00::	they performed a cappella	without musical accompaniment	
a_fortiori	a_fortiori%4:02:00::	if you are wrong then, a fortiori, so am I	with greater reason; for a still stronger, more certain reason	
a_good_deal	a_good_deal%4:02:00::	I feel a lot better	to a very great degree or extent	
a_great_deal	a_great_deal%4:02:00::	I feel a lot better	to a very great degree or extent	
a_great_deal	a_great_deal%4:02:03::	I don't drink much	frequently or in great quantities	
a_hundred_times	a_hundred_times%4:02:00::	they money increased a hundredfold	by a factor of one hundred	
a_la_carte	a_la_carte%4:02:00::	we ate a la carte	by ordering items listed individually on a menu	
a_la_mode	a_la_mode%4:02:00::	we served the apple pie a la mode	with ice cream on top or on the side	
a_little	a_little%4:02:00::	it's a bit warm	to a small degree; somewhat	
a_lot	a_lot%4:02:00::	I feel a lot better	to a very great degree or extent	
a_million_times	a_million_times%4:02:00::	it increased a millionfold	by a factor of a million	
a_posteriori	a_posteriori%4:02:00::		derived from observed facts	
a_priori	a_priori%4:02:00::		derived by logic, without observed facts	
a_trifle	a_trifle%4:02:00::	it's a bit warm	to a small degree; somewhat	
ab_initio	ab_initio%4:02:00::	at first he didn't notice anything strange	at the beginning	
aback	aback%4:02:00::	taken aback by the caustic remarks	by surprise	
aback	aback%4:02:01::	the ship came up into the wind with all yards aback	having the wind against the forward side of the sails	
abaft	abaft%4:02:00::	stow the luggage aft	at or near or toward the stern of a ship or tail of an airplane	
abaxially	abaxially%4:02:00::		in an abaxial manner	manner
abeam	abeam%4:02:00::		at right angles to the length of a ship or airplane	
abed	abed%4:02:00::		in bed	
abjectly	abjectly%4:02:00::	she shrugged her shoulders abjectly	in a hopeless resigned manner	manner
ably	ably%4:02:00::	they worked competently	with competence; in a competent capable manner	manner
abnormally	abnormally%4:02:00::	they were behaving abnormally	in an abnormal manner	manner
aboard	aboard%4:02:00::	Their second homer with Bob Allison aboard	on first or second or third base	
aboard	aboard%4:02:01::		on a ship, train, plane or other vehicle	
aboard	aboard%4:02:02::	Bill's been aboard for three years now	part of a group	
aboard	aboard%4:02:04::	anchored close aboard another ship	side by side	
