,adverb,cluster,sentence,entropy
0,abjectly,0,You have gone and abjectly appealed...,0.017792385071516037
1,ably,0,"and as the President of Chile, I shall carry out impecably the program of Popular Unity.",3.071034626600522e-08
2,ably,1,"Every time he was irrefutably proved wrong, it redoubled everyone's belief.",2.2036195090890942e-09
3,ably,2,I want you to be able to talk about their defense knowledgably.,0.000850010197609663
4,ably,4,"My brother has a mystical torture device buried in his chest, and the mother of his child is inexplicably missing.",2.089518602588214e-08
5,ably,5,"""Whenever you wanted, you made me cry inconsolably.""",6.763827276046186e-09
6,ably,8,Or are you implacably opposed to giving anyone a free choice?,1.71210967891966e-06
7,ably,10,"We need to figure out how to collapse the matter bridge, stop it from drawing energy from the heat-sink, otherwise it's going to get ""unlivably"" cold in here.",3.530291792230855e-08
8,ably,11,"It's-it's fresh, and it's certified organic, and it's sustainably-farmed, and it's...",1.360923249649204e-07
9,ably,13,"I sell product affordably, but I don't sell cheap product.",3.9641872007223355e-09
10,ably,14,"- About ? He supposably watches the kids from his window, Hunts them, skins them, eats them.",3.92195005360918e-08
11,ably,16,People who are immobile ... those which are movably ... and people that move.,6.332172830525451e-08
12,ably,18,"Cokpit on their left the cokpit is regretably demolecularize, at the moment, but...",2.9006701041112137e-08
13,abruptly,0,"The dramatic attempts to rescue Ricky Neuman from an abandoned mine shaft... endedabruptly when playmates confessed... that Neuman's disappearance was a prank, In fact, the missing child was hiding in a nearby barn,",1.2690817285943012e-08
14,abruptly,2,"As they approach the river, the mass of humanity stops abruptly as though someone on the opposite bank... shouted to them.",1.1043992042541504
15,absentmindedly,0,"I stopped by to express my sympathies with Tom, and I remember looking at it, and I guess I absentmindedly put it in my pocket.",0.11869649589061737
16,absolutely,0,"Absolutely right! Fuck destiny, fate. All metaphysical stuff, fuck it.",1.0847818643355822e-08
17,abstractly,0,"Abstractly, I knew it could happen.",0.0006242871750146151
18,absurdly,0,Absurdly basic neuro-linguistic programming technique.,6.596673642889073e-07
19,abundantly,1,Abundantly strong enough for just about any steel you lug up here.,0.00023705244529992342
20,abundantly,2,Together with beseech thee.. ..in the way of righteousness and peace that loving and serving thee with one heart and mind all the days of their life they may be abundantly enriched the tokens of thy everlasting favor,0.0017236148705706
21,abysmally,0,"The sale of that book was so abysmally small it was so unsuccessful, that the question of its influence...",0.03629916533827782
