adverb,cluster,sentence,jooyoung,Column 1,jader,Column 1,match?,Column 2
arrogantly,0,maybe <t>arrogantly</t> is a better word.,,n/a,,?,,Answer: adverb.manner
arrogantly,1,"if you have three steps to do, and you take those steps <t>arrogantly</t>, if you think you are invincible, you're going to die.",manner,,manner,,,Answer: adverb.manner
arrogantly,2,that is so <t>arrogantly</t> phallic!,degree,?,manner,,*,Answer: adverb.manner
boldly,0,"its continuing mission, to explore strange new worlds,... ..to seek out new life and new civilisations,... ..to <t>boldly</t> go where no one has gone before.",manner,,manner,,,Answer: adverb.manner
boldly,1,"the swimming-pool, <t>boldly</t> projected in the sea...",manner,,manner,,,Answer: adverb.manner
boldly,2,"no, it's <t>boldly</t> retro, but i'm thinking something involving heisenberg's uncertainty principle.",degree,manner?,manner,,*,Answer: adverb.manner
bravely,0,(i used to guard these mountains and forests <t>bravely</t>),manner,,manner,,,"Okay, let's see. The adverb here is ""bravely,"" and the sentence is ""I used to guard these mountains and forests bravely."" So I need to figure out which category this falls into."
bravely,1,"the next, our ship - which but three glasses since we gave out split - is tight and yare, and <t>bravely</t> rigg'd, as when we first put out to sea.",manner,,manner,,,Answer: adverb.manner
bravely,2,"i didn't know whether to be brave for jordie and casey or cry it out. so, i cried <t>bravely</t>. you know, like a man, in a low voice, while i was changing the oil on my car.",manner,,manner,,,Answer: adverb.manner
cleverly,0,"<t>cleverly</t>, he deactivates the weapons system, and the crowd goes wild.",subject-oriented,,subject-oriented,,,"Okay, let's tackle this. The adverb in question is ""cleverly,"" and the sentence is ""Cleverly, he deactivates the weapons system, and the crowd goes wild."""
cleverly,1,- you shouldn't look at me so <t>cleverly</t>...,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""cleverly,"" and the sentence is ""You shouldn't look at me so cleverly."""
cleverly,2,"this is a painting of the cliffs at Ã©tretat, <t>cleverly</t> titled the cliffs at Ã©tretat.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""cleverly,"" and the sentence is: ""this is a painting of the cliffs at Étretat, cleverly titled the cliffs at Étretat."""
clumsily,0,"<t>clumsily</t>, with more mess than necessary.",manner,,manner,,,Answer: adverb.manner
clumsily,1,i hadn't thought to put on my climbing boots and stumbled <t>clumsily</t> behind him across the sharp stones.,manner,,manner,,,"Okay, let's see. The adverb here is ""clumsily,"" and the sentence is about someone stumbling behind another person across sharp stones. The task is to figure out which category this adverb falls into."
clumsily,2,those books were tied <t>clumsily</t>.,manner,,manner,,,"Okay, let's see. The adverb here is ""clumsily,"" and the sentence is ""those books were tied clumsily."" I need to figure out which category this falls into."
considerately,0,how about that? whereupon a dead man very <t>considerately</t> gets up and locks the door from the inside.,subject-oriented,?,subject-oriented,,,Answer: adverb.manner
considerately,1,the coupling device that you so <t>considerately</t> left us on your decoy warhead is accurate to 10 feet.,subject-oriented,,manner,,*,"Okay, let's tackle this. The adverb in question is ""considerately,"" and the sentence is: ""the coupling device that you so considerately left us on your decoy warhead is accurate to 10 feet."""
considerately,2,"well, i didn't want to disturb you, and hogan very <t>considerately</t> asked me out.",subject-oriented,,manner,,*,"Okay, let's tackle this. The adverb in question is ""considerately,"" and the sentence is ""well, i didn't want to disturb you, and hogan very considerately asked me out."""
cowardly,0,why are you so <t>cowardly</t>?,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""cowardly,"" and the sentence is ""Why are you so cowardly?"""
cowardly,1,the first survivors from the ships <t>cowardly</t> bombed... by nazi submarines have arrived on the coast of pernambuco.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""cowardly,"" and the sentence is about survivors from ships who ""cowardly bombed"" something by Nazi submarines arriving on the coast of Pernambuco. Hmm, first, I need to figure out what type of adverb ""cowardly"" is here."
cowardly,2,they had <t>cowardly</t> chosen a specialty in their measure.,subject-oriented,,manner,,*,"Okay, let's tackle this. The adverb in question is ""cowardly,"" and the sentence is ""they had cowardly chosen a specialty in their measure."" First, I need to determine which category this adverb falls into."
daringly,0,what the countess had so <t>daringly</t> conceived now began to unravel at a frightening pace.,manner,,manner,,,Answer: adverb.manner
daringly,1,right into the snowstorm we will <t>daringly</t> dash!,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""daringly,"" and the sentence is ""right into the snowstorm we will daringly dash!"""
daringly,2,"<t>daringly</t>, the fugitive's bride-to-be convinces the town that he's not guilty... by forging a telegram from a u.s. marshal.",subject-oriented,,subject-oriented,,,"Okay, let's tackle this. The adverb in question is ""daringly,"" and the sentence is: ""Daringly, the fugitive's bride-to-be convinces the town that he's not guilty... by forging a telegram from a U.S. marshal."""
eagerly,0,dearest helen... aunt juley better and <t>eagerly</t> expecting you as am i.,manner,,manner,,,Answer: adverb.manner
eagerly,1,"without the weapons of mass destruction your people so <t>eagerly</t> hurled at one another,",manner,,manner,,,Answer: adverb.manner
eagerly,2,"carried forward, on a wave of exhaultation, i worked <t>eagerly</t> to complete the portrait.",manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""eagerly,"" and the sentence is ""carried forward, on a wave of exultation, I worked eagerly to complete the portrait."""
early,0,"she did cut out <t>early</t>, so...",temporal,,temporal,,,Answer: adverb.temporal
early,1,"says a male black, <t>early</t> 20s, wearing a white t-shirt, put a gun on him and swiped his bag coming off the number six",temporal,,temporal,,,Answer: adverb.temporal
early,2,"so our killer wanted to make an <t>early</t> withdrawal, and our victim didn't want to go along.",temporal,,temporal,,,"Okay, let's tackle this. The adverb in question is ""early,"" and the sentence is: ""so our killer wanted to make an early withdrawal, and our victim didn't want to go along."""
earnestly,0,i just want to <t>earnestly</t> pray for once.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""earnestly,"" and the sentence is ""I just want to earnestly pray for once."""
earnestly,1,you are taking your best man's duties rather <t>earnestly</t>!,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""earnestly,"" and the sentence is ""you are taking your best man's duties rather earnestly!"""
earnestly,2,so his followers <t>earnestly</t> waited for that day.,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""earnestly,"" and the sentence is ""so his followers earnestly waited for that day."" I need to figure out which category this adverb falls into."
easily,0,gentlemen... 0bjections to the exploitation of an oil deposit can <t>easily</t> be solved with the agreements that will be concluded later,manner,,manner,,,"Okay, let's tackle this. The adverb in question is ""easily,"" and the sentence is about objections to an oil deposit being easily solved with agreements."
easily,1,"upon an ambler <t>easily</t> she sat,",manner,,manner,,,Answer: adverb.manner
foolishly,0,"you know, i mean, i moved here, um, from new york, <t>foolishly</t> thinking that the country was gonna be good for me, right?",subject-oriented,,speaker-oriented,,*,"Okay, let's see. The adverb here is ""foolishly."" The sentence is: ""I moved here... foolishly thinking that the country was gonna be good for me."""
