adverb,type,sentence,correct,
abominably,adverb.manner,I don't know anyone who could have behaved so abominably,yes,
absently,adverb.manner,he read the letter absently,yes,
absolutely,adverb.degree,"Absolutely right! Fuck destiny, fate. All metaphysical stuff, fuck it.",yes,
abstemiously,adverb.manner,"The monk lived abstemiously, avoiding all forms of indulgence.",yes,
abstractly,adverb.domain,"Abstractly, I knew it could happen.",yes,
absurdly,adverb.degree,Absurdly basic neuro-linguistic programming technique.,yes,
abundantly,adverb.degree,Abundantly strong enough for just about any steel you lug up here.,yes,
abysmally,adverb.degree,"The sale of that book was so abysmally small it was so unsuccessful, that the question of its influence...",yes,
academically,adverb.domain,"Academically not the most accomplished, but I see you have become quite the star athlete.",yes,
accordingly,adverb.speaker_oriented,"Accordingly, Rio Web Solution Corp.",yes,
acoustically,adverb.domain,"Acoustically speaking, this tower is the most strategic point in Florence.",yes,
additionally,adverb.speaker_oriented,"Additionally, be aware that your ring is made of pure silver.",yes,
adequately,adverb.degree,"Your honor, I'd like a recess until tomorrow so that I might Adequately prepare to meet Mr. Bedford's challenge.",yes,
administratively,adverb.domain,But administratively... you need to be careful because of the racial thing.,yes,
admittedly,adverb.speaker_oriented,"Admittedly, not the most romantic birthday gift, but he's a happy putterer.",yes,
advisedly,adverb.subject_oriented,"Like its relatives, it has a tiny mouth with which it picks up small shrimps that ill-advisedly take shelter in what appears to be floating weed.",yes,
affectionately,adverb.speaker_oriented,"Question mark. Affectionately, Papa. Have you got that?",yes,
aggressively,adverb.degree,"But see, I'm having this aggressively bad day.",yes,
agonizingly,adverb.degree,The night seemed agonizingly long after that first quarrel.,yes,
allegedly,adverb.speaker_oriented,"the main compound used in gasoline additives, like the one Irene allegedly swallowed.",yes,
also,adverb.focus,The museum is also open on Sundays.,yes,
alternatively,adverb.speaker_oriented,"Alternatively, you could step away from that box, you can walk right out of that door and you could stand your revolution down.",yes,
altruistically,adverb.manner,The nurse volunteered altruistically during the health crisis.,yes,
amazingly,adverb.speaker_oriented,"Amazingly, she doesn't have any spinal damage, but... her head got knocked around pretty good.",yes,
amply,adverb.degree,If I could mend it for the fearless boy I'd be amply rewarded for all this humiliation.,yes,
analytically,adverb.domain,"And what about the soldiers? Analytically, I understand that many lives outweigh the one.",yes,
anatomically,adverb.domain,"Anatomically, all orgasms are centered in the clitoris",yes,
angrily,adverb.manner,He shouted angrily at the referee.,yes,
angrily,adverb.subject_oriented,"Angrily, she tore up the letter.",yes,
angrily,adverb.manner,The tone was angrily defensive.,yes,
annoyingly,adverb.degree,"Annoyingly affectionate, constant hugs, kisses.",yes,
annually,adverb.frequency,"Annually, you spend $10, 000 on paper products.",yes,
anteriorly,adverb.spatial,"If I decompress the cord anteriorly,",yes,
appallingly,adverb.degree,"""It's become appallingly clear... that our technology has surpassed our humanity.""",yes,
apparently,adverb.speaker_oriented,"Apparently, there's been a murder.",yes,
appreciatively,adverb.manner,The manager nodded appreciatively when she presented her idea.,yes,
appropriately,adverb.speaker_oriented,"Appropriately dubbed by the Allies as ""Operation Gomorrah,"" the raids had been a cold and calculated attempt to scorch Hamburg and its people, from the face of the earth.",yes,
